OBJECTID,TCNAME,ENAME,Shape__Area,Shape__Length
1,黃大仙區,WONG TAI SIN,10927836.5917969,17995.6407816191
2,葵青區,KWAI TSING,27749139.0957031,56392.2569661545
3,深水埗區,SHAM SHUI PO,11160980.8320313,29302.8173827119
4,油尖旺區,YAU TSIM MONG,8135365.57617188,22711.6086347517
5,九龍城區,KOWLOON CITY,11842853.4316406,31834.4174143509
6,觀塘區,KWUN TONG,13221241.3144531,25496.7001639177
7,西貢區,SAI KUNG,160294415.091797,365545.336692948
8,大埔區,TAI PO,174382107.560547,233099.713088722
9,沙田區,SHA TIN,81190614.171875,56826.755185218
10,北區,NORTH,161918447.396484,192815.600251419
11,中西區,CENTRAL & WESTERN,14604741.2382813,26681.2879690843
12,灣仔區,WAN CHAI,11614897.9023438,19548.0752977317
13,東區,EASTERN,21842113.2226563,36188.4566662105
14,屯門區,TUEN MUN,99210907.109375,99074.8585083763
15,元朗區,YUEN LONG,164876791.396484,91328.8561912299
16,荃灣區,TSUEN WAN,73174458.9121094,94308.0967401241
17,離島區,ISLANDS,209047253.197266,354768.548051683
18,南區,SOUTHERN,46449336.7734375,112548.245658238
